Titel;Geltungsbereich;Kategorie;Beschreibung
single use files;Frontend, Backend;Projektstruktur;exportierte Klassen, Interfaces, Enumerationen, Types werden immer in einer separaten Datei abgelegt.
Ablage von öffentlichen Models/DTOs;Frontend, Backend;Projektstruktur;"Öffentliche/exportierte Models sind immer in der Nähe ihrer Fachlichkeit abzulegen. Das Model sollte sich in der gleichen Ordnerstruktur des dazugehörigen Moduls befinden. Models sollten immer in einem eigenen Unterordner ""models"" abgelegt werden."
Ablage von privaten Models/DTOs;Frontend, Backend;Projektstruktur;Wird ein Model nur innerhalb einer Datei benötigt, so darf dieses Model nicht exportiert werden und kann dann privat in dieser Datei abgelegt werden.
Ablage von Services;Frontend, Backend;Projektstruktur;"Services sind immer in der Nähe ihrer Fachlichkeit/Moduls abzulegen. Services sind immer in einem separaten Unterordner ""services"" abzulegen."
Zweckbindung von Services;Frontend, Backend;CodeQuality;Services sollten immer nur Funktionalitäten enthalten, die ihrem eigenen Zweck dienen. Utilities oder andere Fachlichkeiten sind in entsprechende andere Strukturen auszulagern.
Call it in ngOnInit;Frontend;Performance, BestPractice;Reservieren Sie den Konstruktor für eine minimale Initialisierung, z. B. für die Verknüpfung von Konstruktorparametern mit Eigenschaften. Der Konstruktor sollte darüber hinaus nichts tun. Er sollte auf keinen Fall eine Funktion aufrufen, die HTTP-Anfragen an einen entfernten Server stellt, wie es ein echter Datendienst tun würde. Quelle: https://angular.io/guide/lazy-loading-ngmodules
Observables zerstören;Frontend, Backend;Performance;Observables sollten bei Aufrufen von subscribe immer zerstört werden. In Angular kann hierfür der Operator takeUntilDestroyed genutzt werden. Andernfalls kann der Operator takeUntil verwendet werden. Dies gilt auch für selbst-Abschließende Observables wie solche, die mittels des HttpClients erzeugt wurden.
Quellcode-Dokumentation - Wo?;Frontend, Backend;Wartbarkeit;Alle Öffentlichen/exportierten Klassen, Interfaces, Enumerationen und Types müssen durch einen jsdocs-Kommentar dokumentiert werden. Auch deren öffentlichen Member müssen dokumentiert werden. Eine Ausnahme bildet die constructor -Funktion, hier muss nicht zwingend dokumentiert werden. Komplexe interne/private Methoden, sollten dennoch dokumentiert werden. Darüber hinaus ist Notwendigkeit für weitere Dokumentationen dem Entwickler oder Reviewer überlassen.
Fehler dürfen nicht verschluckt werden;Frontend, Backend;ErrorHandling, Wartbarkeit, Useability;Abgefangene Fehler sollten immer weitergereicht werden und sollten nicht verworfen werden.Korrekte Weitergaben wären: 1. Weitergabe an globales Error Handling 2. Übergabe in den cause eines neuen Errors 3. Übergabe an einen Logger/Notifier 4. Anzeige im UI
Quellcode-Sprache;Frontend, Backend;Wartbarkeit;Die Sprache im Quellcode und der Quellcode-Dokumentation ist Englisch. Fachwörter dürfen aber in deutsch belassen werden, sofern dies die Verständlichkeit fördert.
InMemory Caching von Http-Anfragen;Frontend, Backend;BestPractice;RxJs-Observables können mit dem shareReplay - Opertator gecached werden, wichtig ist hierbei, das die Observable-Instanz wiederverwendet wird und nicht jedes Mal neu erzeugt wird.
Dauerhaftes Caching von Http-Anfragen;Frontend;BestPractice;Zum dauerhaften Cachen von Daten aus einer Http-Anfrage, ist die Verwendung des LocalStorage zu empfehlen, nur bei komplexeren Datenstrukturen, welche lokal intensiv ausgewertet werden, könnte auch die Verwendung der IndexDB in Frage kommen.
ShareReplay Limitieren;Frontend, Backend;BestPractice;"der RxJs-Operator shareReplay sollte immer mit einem Konfigurationswert ""1"" verwendet werden, da dieser ansonsten auch immer ältere Werte beim subscribe wiederholt."
Quellcode-Formatierung;Frontend, Backend;CodeQuality, Wartbarkeit;Sämtlicher Quellcode muss immer allen Regeln von Prettier entsprechen. Nur in HTML-Dateien dürfen 150 Zeichen pro Zeile stehen.
native private Properties;Frontend, Backend;CodeQuality, Security;JavaScript-Private-Properties (#-Präfix) wird bei uns nicht verwendet
Zusammensetzen von URLs;Frontend, Backend;BestPractice;"Urls sollten mithilfe des npm-Paketes url-join  zusammengesetzt werden, so muss man sich keine Gedanken um führende, nachfolgende oder doppelte ""Slashes"" machen."
UI mit WebComponents;Frontend;Useability, CorporateDesign;Alle Oberflächen sind mit den WebComponents der Musterfirma (@Musterfirma/xx-commons-ui) umzusetzen
custom CSS;Frontend;Useability, CorporateDesign, Wartbarkeit;Eigenes CSS ist generell zu vermeiden, ist es dennoch notwendig, so ist dies als Ausnahme in der CSS-Definition mittels Kommentar zu dokumentieren → Ursache muss ersichtlich gemacht werden. CSS wird allgemein durch die WebComponents gesteuert und bereitgestellt. Diese Regel betrifft eigene CSS-Dateien, Style-Tags und Style-Attribute.
LazyLoading;Frontend;Performance;Große Projekte sind grundsätzlich in mehrere Module aufzuteilen, welche dann über das Routing lazy geloaded werden können. Quelle: https://angular.io/guide/lazy-loading-ngmodules
Allgemeine Fehlerbehandlung;Frontend;Wartbarkeit, Useability, ErrorHandling;Alle Frontend-Projekte müssen die Dependency @musterfirma/cc-errors einbinden und damit das globale ErrorHandling der Musterfirma aktivieren. Abweichungen durch Ableitungen vom GlobalErrorHandler sind zulässig.
Hinzufügen von CC-Errors;Frontend;BestPractice;Komandozeilenbefehl: ng add @Musterfirma/cc-errors 
